One occupation for multiple geographical areas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Occupation:Software Developers(SOC Code151252),,,,,,,,,,,,,,,,,
Period:May 2022,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Area Name,Employment(1),Employment percent relative standard error(3),Hourly mean wage,Annual mean wage(2),Wage percent relative standard error(3),Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage(2),Annual 25th percentile wage(2),Annual median wage(2),Annual 75th percentile wage(2),Annual 90th percentile wage(2),"Employment per 1,000 jobs",Location Quotient
Southwest Iowa nonmetropolitan area(1900003),         130,         5.5,       53.12,      110480,         3.0,       35.85,       43.73,       51.56,       61.37,       75.32,       74570,       90950,      107240,      127650,      156660,       1.573,        0.15
Southwest Maine nonmetropolitan area(2300002),         360,        23.9,       51.10,      106290,         3.2,       30.76,       38.84,       50.96,       59.61,       73.70,       63980,       80790,      106000,      124000,      153300,       1.919,        0.18
Southwest Minnesota nonmetropolitan area(2700003),         240,         7.3,       46.66,       97050,         2.4,       30.68,       36.52,       46.17,       57.28,       63.85,       63810,       75970,       96020,      119140,      132810,       2.004,        0.19
Southwest Mississippi nonmetropolitan area(2800004),          40,        17.3,       39.63,       82430,         7.7,       20.34,       29.12,       38.66,       45.30,       61.20,       42310,       60580,       80410,       94220,      127300,       0.632,        0.06
Southwest Missouri nonmetropolitan area(2900004),         180,        17.5,       43.32,       90110,         5.3,       22.16,       28.10,       41.39,       59.64,       61.94,       46080,       58450,       86080,      124040,      128830,       2.437,        0.23
Southwest Montana nonmetropolitan area(3000003),         770,        16.5,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,           -,       5.326,        0.51
Southwest New York nonmetropolitan area(3600004),         290,         5.1,       51.59,      107310,         1.5,       29.55,       35.58,       47.49,       61.95,       80.57,       61470,       74010,       98780,      128860,      167580,       1.722,        0.17
Southwest Oklahoma nonmetropolitan area(4000003),         110,         8.5,       45.29,       94210,         4.7,       22.39,       31.22,       40.72,       59.61,       64.80,       46570,       64940,       84700,      123990,      134790,       1.745,        0.17
Southwest Virginia nonmetropolitan area(5100001),         310,         7.3,       50.26,      104540,         4.2,       25.53,       32.24,       48.84,       62.74,       75.51,       53100,       67060,      101580,      130490,      157060,       2.665,        0.26
"Spartanburg, SC(0043900)",         380,         3.4,       47.24,       98260,         1.9,       28.89,       37.25,       47.36,       58.90,       69.36,       60090,       77490,       98510,      122520,      144260,       2.441,        0.24
"Spokane-Spokane Valley, WA(0044060)",        1810,         5.9,       53.23,      110710,         2.7,       28.85,       36.80,       50.61,       66.51,       77.28,       60010,       76540,      105270,      138340,      160740,       7.234,        0.70
"Springfield, IL(0044100)",         610,         9.5,       52.82,      109870,         2.4,       31.05,       40.24,       50.61,       62.73,       77.42,       64580,       83700,      105260,      130470,      161040,       5.963,        0.57
"Springfield, MA-CT(0078100)",        1310,         4.4,       54.86,      114100,         0.9,       36.41,       41.99,       51.14,       64.74,       77.44,       75730,       87340,      106370,      134660,      161080,       4.125,        0.40
"Springfield, MO(0044180)",        1200,         6.5,       44.63,       92830,         1.7,       22.89,       32.48,       46.39,       52.94,       62.88,       47620,       67570,       96480,      110110,      130780,       5.649,        0.54
"Springfield, OH(0044220)",         120,        17.5,       51.70,      107530,         3.0,       30.50,       39.46,       51.43,       63.71,       72.07,       63450,       82080,      106970,      132520,      149910,       2.487,        0.24
"St. Cloud, MN(0041060)",         280,         8.0,       49.65,      103260,         1.1,       32.21,       38.59,       48.46,       60.46,       69.97,       67000,       80260,      100800,      125760,      145530,       2.782,        0.27
"St. George, UT(0041100)",         330,         7.5,       46.85,       97440,         5.4,       18.40,       30.05,       46.82,       61.61,       77.36,       38270,       62500,       97390,      128160,      160910,       4.119,        0.40
"St. Joseph, MO-KS(0041140)",         120,         6.2,       45.44,       94510,         2.2,       28.03,       37.95,       39.78,       57.69,       63.83,       58300,       78930,       82750,      120000,      132760,       2.341,        0.23
"St. Louis, MO-IL(0041180)",       12360,         3.1,       51.00,      106070,         1.5,       26.59,       38.33,       51.17,       63.16,       76.62,       55300,       79720,      106430,      131380,      159360,       9.443,        0.91
"State College, PA(0044300)",         440,         6.7,       52.76,      109750,         1.7,       35.42,       41.77,       51.19,       65.27,       67.73,       73680,       86880,      106480,      135760,      140870,       6.830,        0.66
"Staunton-Waynesboro, VA(0044420)",         120,         7.6,       50.05,      104100,         2.1,       29.50,       37.69,       47.25,       62.35,       72.71,       61360,       78400,       98270,      129700,      151230,       2.594,        0.25
"Stockton-Lodi, CA(0044700)",         500,         8.9,       61.01,      126910,         1.9,       38.65,       49.50,       62.34,       76.02,       81.12,       80400,      102960,      129670,      158130,      168740,       1.827,        0.18
"Sumter, SC(0044940)",         100,        31.7,       49.83,      103640,         3.7,       32.79,       43.41,       54.96,       54.96,       65.40,       68210,       90300,      114310,      114310,      136030,       2.914,        0.28
"Syracuse, NY(0045060)",        1720,         2.3,       55.62,      115680,         1.0,       32.50,       40.26,       52.31,       67.94,       80.34,       67600,       83750,      108800,      141320,      167100,       5.971,        0.58
"Tallahassee, FL(0045220)",        1100,         9.1,       47.55,       98910,         2.5,       24.04,       31.02,       45.15,       57.05,       70.68,       50010,       64530,       93900,      118670,      147010,       6.242,        0.60
"Tampa-St. Petersburg-Clearwater, FL(0045300)",       13010,         3.4,       53.20,      110650,         2.2,       28.82,       39.44,       51.37,       63.26,       77.35,       59950,       82040,      106840,      131570,      160900,       9.533,        0.92
"Terre Haute, IN(0045460)",          30,        13.9,       49.64,      103240,         4.2,       31.52,       40.57,       48.53,       57.59,       63.71,       65560,       84380,      100950,      119790,      132530,       0.540,        0.05
"Texarkana, TX-AR(0045500)",          50,        31.9,       44.32,       92180,         3.6,       22.12,       31.78,       41.44,       54.15,       63.10,       46020,       66100,       86190,      112640,      131240,       0.922,        0.09
"The Villages, FL(0045540)",          80,        11.3,       48.75,      101400,         3.3,       30.75,       37.19,       46.41,       61.14,       74.30,       63950,       77360,       96540,      127160,      154540,       2.333,        0.22
"Toledo, OH(0045780)",         960,         5.6,       47.46,       98710,         3.2,       29.49,       35.55,       47.06,       60.04,       65.68,       61340,       73940,       97880,      124890,      136600,       3.359,        0.32
"Topeka, KS(0045820)",        1110,         9.8,       46.07,       95830,         2.4,       26.44,       32.31,       44.25,       58.20,       68.32,       55000,       67200,       92040,      121050,      142110,      10.104,        0.97
"Trenton, NJ(0045940)",        4030,         7.7,       60.94,      126760,         3.3,       36.09,       48.05,       62.77,       71.90,       83.14,       75070,       99950,      130560,      149550,      172940,      17.012,        1.64
"Tucson, AZ(0046060)",        5430,         2.9,       57.46,      119510,         0.8,       39.45,       40.83,       50.93,       65.36,       83.06,       82060,       84930,      105940,      135940,      172770,      14.309,        1.38
"Tulsa, OK(0046140)",        2310,         7.8,       50.18,      104380,         2.3,       27.47,       37.56,       48.86,       64.26,       75.10,       57140,       78130,      101620,      133660,      156210,       5.423,        0.52
"Tuscaloosa, AL(0046220)",         160,        30.0,       43.44,       90350,         8.7,       23.45,       31.78,       40.57,       53.38,       65.06,       48780,       66100,       84380,      111030,      135330,       1.633,        0.16
"Twin Falls, ID(0046300)",         110,        14.0,       45.90,       95470,         3.5,       19.79,       32.71,       47.35,       60.36,       70.70,       41160,       68040,       98480,      125560,      147060,       2.396,        0.23
"Tyler, TX(0046340)",         180,         7.5,       49.52,      103010,         3.6,       29.42,       37.08,       45.16,       60.77,       75.07,       61190,       77130,       93920,      126400,      156140,       1.655,        0.16
Upper Peninsula of Michigan nonmetropolitan area(2600001),         170,         6.7,       44.80,       93180,         4.3,       27.54,       32.06,       39.79,       48.87,       63.24,       57290,       66680,       82760,      101650,      131550,       1.549,        0.15
Upper Savannah South Carolina nonmetropolitan area(4500002),          90,        20.4,       46.02,       95710,         4.9,       28.97,       33.98,       43.89,       56.91,       65.33,       60260,       70680,       91290,      118370,      135890,       1.120,        0.11
"Urban Honolulu, HI(0046520)",        1970,         8.8,       52.64,      109490,         4.6,       26.68,       37.91,       48.88,       61.11,       77.75,       55500,       78840,      101680,      127110,      161730,       4.654,        0.45
"Utica-Rome, NY(0046540)",         560,         5.4,       51.26,      106620,         2.1,       29.15,       39.00,       49.12,       63.71,       79.66,       60620,       81110,      102170,      132520,      165680,       4.889,        0.47
"Valdosta, GA(0046660)",         160,         5.1,       50.42,      104870,         3.1,       30.81,       36.79,       48.17,       55.00,       72.17,       64090,       76530,      100200,      114400,      150110,       2.992,        0.29
"Vallejo-Fairfield, CA(0046700)",         230,         7.2,       60.74,      126350,         2.7,       30.75,       45.87,       61.38,       72.08,       90.46,       63950,       95400,      127660,      149920,      188160,       1.664,        0.16
"Vineland-Bridgeton, NJ(0047220)",         100,        21.0,       45.15,       93910,         9.6,       27.75,       27.75,       41.41,       60.08,       72.68,       57720,       57720,       86130,      124970,      151170,       1.612,        0.16
"Virginia Beach-Norfolk-Newport News, VA-NC(0047260)",        7140,         3.2,       55.89,      116260,         1.1,       32.13,       40.15,       51.82,       66.18,       80.93,       66840,       83510,      107780,      137650,      168330,       9.843,        0.95
"Visalia-Porterville, CA(0047300)",         240,         4.8,       60.43,      125690,         1.6,       35.82,       47.01,       62.27,       73.77,       84.48,       74510,       97780,      129530,      153430,      175710,       1.476,        0.14
"Waco, TX(0047380)",         500,        19.6,       55.17,      114750,         1.6,       36.98,       45.60,       57.08,       62.24,       77.04,       76910,       94850,      118720,      129450,      160250,       4.063,        0.39
"Walla Walla, WA(0047460)",         100,         8.0,       56.35,      117210,         4.0,       29.30,       39.10,       61.73,       71.45,       78.42,       60940,       81320,      128410,      148610,      163110,       3.543,        0.34
"Warner Robins, GA(0047580)",         360,         7.6,       53.44,      111160,         1.8,       31.08,       41.34,       53.45,       64.20,       76.35,       64650,       85990,      111180,      133530,      158800,       4.807,        0.46
"Washington-Arlington-Alexandria, DC-VA-MD-WV(0047900)",       69360,         4.3,       67.23,      139850,         1.2,       38.75,       49.94,       64.84,       81.50,      100.31,       80600,      103860,      134870,      169520,      208640,      22.909,        2.21
"Waterbury, CT(0078700)",         160,        17.7,       49.69,      103360,         6.9,       30.40,       36.26,       47.46,       63.55,       67.74,       63230,       75420,       98710,      132180,      140900,       2.381,        0.23
"Waterloo-Cedar Falls, IA(0047940)",         340,         9.6,       48.18,      100210,         1.9,       30.84,       39.46,       46.92,       53.06,       64.66,       64140,       82070,       97600,      110350,      134490,       4.020,        0.39
"Watertown-Fort Drum, NY(0048060)",          60,         8.3,       51.39,      106900,         2.8,       28.05,       38.68,       50.93,       62.28,       71.93,       58350,       80450,      105930,      129540,      149600,       1.515,        0.15
"Wausau, WI(0048140)",         330,         2.4,       47.40,       98590,         0.9,       28.95,       36.14,       48.16,       59.84,       65.10,       60220,       75170,      100170,      124480,      135410,       4.740,        0.46
"Wenatchee, WA(0048300)",         140,        16.3,       56.02,      116520,         4.6,       30.25,       44.24,       57.97,       67.29,       79.17,       62930,       92020,      120570,      139960,      164680,       2.967,        0.29
West Central Illinois nonmetropolitan area(1700002),         350,         7.9,       49.21,      102370,         2.7,       28.84,       37.99,       47.06,       61.08,       74.28,       59990,       79020,       97890,      127050,      154510,       2.159,        0.21
West Central-Southwest New Hampshire nonmetropolitan area(3300006),         700,         3.0,       54.23,      112800,         0.8,       36.50,       42.19,       53.03,       63.02,       71.66,       75920,       87740,      110310,      131080,      149050,       7.018,        0.68
West Kentucky nonmetropolitan area(2100001),         150,         8.7,       49.81,      103590,         5.3,       28.77,       38.31,       47.59,       59.70,       71.38,       59850,       79690,       99000,      124170,      148470,       0.988,        0.10
West Montana nonmetropolitan area(3000004),         400,        14.0,       60.54,      125930,        13.5,       28.64,       35.80,       53.38,       57.53,       77.12,       59570,       74460,      111040,      119660,      160420,       5.014,        0.48
West North Dakota nonmetropolitan area(3800006),          70,        29.7,       53.16,      110560,         6.0,       24.35,       30.10,       48.01,       69.33,       94.07,       50650,       62610,       99850,      144200,      195660,       0.619,        0.06
West Northwestern Ohio nonmetropolitan area(3900001),         640,         8.8,       47.68,       99170,         1.0,       31.16,       38.25,       46.42,       58.63,       63.85,       64810,       79560,       96550,      121950,      132820,       2.609,        0.25
West South Dakota nonmetropolitan area(4600003),         250,        16.3,       40.34,       83900,         5.3,       27.46,       30.11,       38.20,       45.91,       50.93,       57120,       62620,       79460,       95490,      105930,       4.143,        0.40
West Tennessee nonmetropolitan area(4700001),         120,        12.2,       43.33,       90130,         3.0,       19.84,       30.48,       40.34,       57.24,       64.18,       41260,       63390,       83910,      119070,      133490,       0.946,        0.09
West Texas Region of Texas nonmetropolitan area(4800001),         250,         6.4,       49.82,      103630,         2.6,       24.24,       31.62,       45.52,       60.19,       76.81,       50430,       65770,       94680,      125190,      159760,       1.269,        0.12
Western Pennsylvania nonmetropolitan area(4200001),         150,         6.5,       48.68,      101250,         4.8,       27.24,       36.85,       46.92,       57.93,       78.43,       56660,       76640,       97590,      120500,      163140,       1.078,        0.10
Western Washington nonmetropolitan area(5300006),         300,         8.9,       56.15,      116790,         4.2,       29.93,       38.17,       58.93,       73.64,       79.52,       62240,       79400,      122580,      153160,      165400,       2.391,        0.23
Western Wisconsin nonmetropolitan area(5500004),         180,        13.9,       42.60,       88620,         3.9,       24.76,       30.89,       40.45,       51.15,       61.75,       51490,       64240,       84140,      106380,      128440,       1.326,        0.13
Western Wyoming nonmetropolitan area(5600006),           -,           -,       44.74,       93060,         6.6,       25.69,       25.69,       42.15,       55.20,       69.18,       53420,       53420,       87670,      114820,      143880,           -,           -
"Wichita Falls, TX(0048660)",         100,        14.3,       48.33,      100520,         2.6,       28.29,       38.35,       49.78,       52.20,       71.97,       58850,       79770,      103530,      108580,      149690,       1.722,        0.17
"Wichita, KS(0048620)",        1900,         6.3,       50.87,      105810,         1.9,       28.69,       37.77,       48.19,       61.06,       78.87,       59680,       78570,      100230,      127010,      164060,       6.428,        0.62
"Williamsport, PA(0048700)",          70,         8.5,       48.64,      101170,         2.6,       28.52,       36.10,       46.44,       56.88,       72.73,       59330,       75080,       96600,      118320,      151280,       1.478,        0.14
"Wilmington, NC(0048900)",         960,         5.0,       53.12,      110490,         1.3,       32.57,       39.52,       49.85,       61.83,       77.99,       67750,       82190,      103680,      128600,      162220,       7.002,        0.67
"Winchester, VA-WV(0049020)",         290,         5.1,       53.03,      110300,         1.6,       29.46,       43.76,       48.25,       59.27,       76.73,       61290,       91020,      100360,      123280,      159590,       4.623,        0.45
"Winston-Salem, NC(0049180)",        1550,         6.9,       56.39,      117290,         1.3,       33.82,       45.22,       56.97,       64.42,       78.38,       70350,       94060,      118500,      133990,      163020,       5.782,        0.56
"Worcester, MA-CT(0079600)",        2120,         4.5,       61.10,      127080,         1.9,       35.08,       47.95,       60.26,       75.74,       81.67,       72960,       99740,      125340,      157540,      169870,       7.495,        0.72
"Yakima, WA(0049420)",         110,        11.1,       56.62,      117760,         2.3,       29.63,       43.73,       56.22,       69.07,       80.18,       61640,       90950,      116930,      143660,      166770,       1.125,        0.11
"York-Hanover, PA(0049620)",         470,         5.2,       48.81,      101520,         1.6,       29.87,       37.57,       48.31,       59.81,       65.26,       62140,       78140,      100490,      124400,      135730,       2.667,        0.26
"Youngstown-Warren-Boardman, OH-PA(0049660)",         320,         5.6,       45.67,       95000,         2.9,       28.01,       33.92,       44.74,       55.81,       62.29,       58260,       70560,       93060,      116090,      129570,       1.619,        0.16
"Yuba City, CA(0049700)",         120,        10.6,       64.50,      134160,         2.2,       44.54,       52.40,       65.40,       77.10,       85.95,       92650,      109000,      136020,      160370,      178780,       2.468,        0.24
"Yuma, AZ(0049740)",         160,         4.5,       52.80,      109820,         2.1,       32.86,       38.36,       49.57,       59.95,       73.89,       68360,       79800,      103100,      124690,      153690,       2.320,        0.22
,,,,,,,,,,,,,,,,,
(1)Estimates for detailed occupations do not sum to the totals because the totals include occupations not shown separately. Estimates do not include self-employed workers.,,,,,,,,,,,,,,,,,
"(2)Annual wages have been calculated by multiplying the corresponding hourly wage by 2,080 hours.",,,,,,,,,,,,,,,,,
"(3)The relative standard error (RSE) is a measure of the reliability of a survey statistic. The smaller the relative standard error, the more precise the estimate.",,,,,,,,,,,,,,,,,
"(5)This wage is equal to or greater than $115.00 per hour or $239,200 per year.",,,,,,,,,,,,,,,,,
(8)Estimate not released.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SOC code: Standard Occupational Classification code -- see http://www.bls.gov/soc/home.htm,,,,,,,,,,,,,,,,,
"Date extracted on :Oct 26, 2023",,,,,,,,,,,,,,,,,
